pic_name,bool_value,bool_gme,bool_gamestop,bool_investing,value_screenshot
o6gulqjs96f61,True,True,True,False,50000.0
kyyck4dybt461,False,False,False,True,2762.0
jystf1n0v2e61,True,False,False,False,412.0
i2wucnax0xe61,True,False,False,False,233.0
0u2u0j6izxe61,True,True,False,False,365.0
y6huzy1wwwd61,True,True,False,False,1304.0
3cu3ixlmpve61,False,False,False,True,4149.0
gpc9f512x5a61,False,False,False,True,630.0
2qNRozR,False,True,False,False,283200.0
qo0k2f4oyid61,True,False,False,False,36895.0
u0tb0foqxcb61,False,False,False,True,16591.0
titfbe80f4f61,False,True,True,False,99260.0
863gs7m5s2f61,False,True,False,False,154.0
1uuwqoxtq2e61,False,True,True,False,443.0
fqihzvco0ce61,False,True,False,False,319.0
3wmmlrxn5wd61,True,False,False,False,18553.0
QCvGJVe,True,False,False,False,18104.0
n5gsbkad54f61,True,False,True,False,7750.0
idk50jsc31e61,False,True,False,False,17355.0
1go4qr32c3f61,False,True,False,False,1792.0
m304sz1jcbf61,True,False,True,False,199.0
uth1qvzngid61,True,False,False,False,2725.0
6zvm5votq6e61,False,True,True,False,311.0
hoq6rxwcfle61,False,True,False,False,119200.0
22uhj9e3dwe61,True,True,False,False,322.0
0n2fivamdyd61,False,False,False,True,562177.0
gz83yv1iw2f61,True,True,False,False,1711.0
qtu6b4tkt4e61,False,True,True,False,249.0
0jf4pco9pic61,True,False,False,False,1704.0
mzi64n8jv3e61,True,False,False,False,54501.0
004kqzydlhd61,True,False,False,False,2008.0
hjcn1j32td761,True,False,False,False,40576.0
m1ro6n062md61,True,True,False,False,1777.0
8y3wnuvflmc61,True,False,False,False,15436.0
0jbjajeg83f61,True,True,False,False,300.0
r3cds17n3xd61,True,False,False,False,1874.0
mk1jo6089xd61,True,False,False,False,238805.0
xmdv1z3tn4f61,True,True,False,False,17806.0
2xzdi1me7re61,True,False,False,False,184.0
001xo5og8se61,False,False,False,True,306.0
ken57mwcx8f61,False,False,False,True,23021.0
5crn8t1gu2f61,False,True,True,False,1698.0
u1600dyoc9e61,False,True,True,False,132.0
85gkcsp65hf61,True,True,True,False,800.0
hAG6lQy,False,False,True,False,469.0
81ud2p8edhf61,False,False,False,True,392.0
O8b7rrw,True,False,False,False,2061.0
polvs4abfre61,True,False,False,False,1826866.0
66b3ev08t9e61,False,True,False,False,338.0
mh8v63sjewd61,True,True,False,False,522.0
2bynjlsvnk661,False,False,False,True,5777.0
z646kbfyw2f61,False,True,False,False,114.0
o5kkjguskae61,True,False,False,False,1622.0
crzua9wfkzd61,False,False,True,False,350.0
8ym96p2joze61,True,True,True,False,3635.0
myyft3k8bye61,True,False,False,False,69050.0
ihvmjkaf4wd61,False,True,False,False,3245.0
ugnk0hssxwe61,True,False,False,False,4333.0
mqtoiv3j53f61,True,True,False,False,134.0
c8jnepdtxwd61,False,True,True,False,25000.0
ma4pg2msycc61,False,True,True,False,398286.0
ke41dzpy3xd61,True,False,False,False,4702.0
w1tg3xdf1ee61,False,False,False,True,2589.0
r2ywgzb6nid61,False,True,False,True,2398.0
moj67k3uj0e61,False,True,False,False,199.0
bgn4vpy6wqc61,True,False,False,False,1415.0
tw9exchxhee61,False,True,False,False,23866.0
n1j5zo466xc61,True,True,False,False,115411.0
5cblu2711re61,False,True,True,False,2000.0
7z39w3flw4e61,True,False,False,True,101.0
04igbtoukyc61,True,False,False,False,62400.0
vww42vyakwe61,False,True,True,False,8985.0
hdqsnqcsa3e61,False,True,True,False,347.0
2s28qeemove61,True,True,False,False,322.0
